1
3,5,9,17,33,65,129,257,513,1025,2049,4097,8193,2
7,13,25,49,97,193,385,769,1537,3073,6145,12289,8194,4
11,21,41,81,161,321,641,1281,2561,5121,10241,4098,8195,6
15,29,57,113,225,449,897,1793,3585,7169,14337,12290,8196,8
19,37,73,145,289,577,1153,2305,4609,9217,2050,4099,8197,10
23,45,89,177,353,705,1409,2817,5633,11265,6146,12291,8198,12
27,53,105,209,417,833,1665,3329,6657,13313,10242,4100,8199,14
31,61,121,241,481,961,1921,3841,7681,15361,14338,12292,8200,16
35,69,137,273,545,1089,2177,4353,8705,1026,2051,4101,8201,18
39,77,153,305,609,1217,2433,4865,9729,3074,6147,12293,8202,20
43,85,169,337,673,1345,2689,5377,10753,5122,10243,4102,8203,22
47,93,185,369,737,1473,2945,5889,11777,7170,14339,12294,8204,24
51,101,201,401,801,1601,3201,6401,12801,9218,2052,4103,8205,26
55,109,217,433,865,1729,3457,6913,13825,11266,6148,12295,8206,28
59,117,233,465,929,1857,3713,7425,14849,13314,10244,4104,8207,30
63,125,249,497,993,1985,3969,7937,15873,15362,14340,12296,8208,32
67,133,265,529,1057,2113,4225,8449,514,1027,2053,4105,8209,34
71,141,281,561,1121,2241,4481,8961,1538,3075,6149,12297,8210,36
75,149,297,593,1185,2369,4737,9473,2562,5123,10245,4106,8211,38
79,157,313,625,1249,2497,4993,9985,3586,7171,14341,12298,8212,40
83,165,329,657,1313,2625,5249,10497,4610,9219,2054,4107,8213,42
87,173,345,689,1377,2753,5505,11009,5634,11267,6150,12299,8214,44
91,181,361,721,1441,2881,5761,11521,6658,13315,10246,4108,8215,46
95,189,377,753,1505,3009,6017,12033,7682,15363,14342,12300,8216,48
99,197,393,785,1569,3137,6273,12545,8706,1028,2055,4109,8217,50
103,205,409,817,1633,3265,6529,13057,9730,3076,6151,12301,8218,52
107,213,425,849,1697,3393,6785,13569,10754,5124,10247,4110,8219,54
111,221,441,881,1761,3521,7041,14081,11778,7172,14343,12302,8220,56
115,229,457,913,1825,3649,7297,14593,12802,9220,2056,4111,8221,58
119,237,473,945,1889,3777,7553,15105,13826,11268,6152,12303,8222,60
123,245,489,977,1953,3905,7809,15617,14850,13316,10248,4112,8223,62
127,253,505,1009,2017,4033,8065,16129,15874,15364,14344,12304,8224,64
131,261,521,1041,2081,4161,8321,258,515,1029,2057,4113,8225,66
135,269,537,1073,2145,4289,8577,770,1539,3077,6153,12305,8226,68
139,277,553,1105,2209,4417,8833,1282,2563,5125,10249,4114,8227,70
143,285,569,1137,2273,4545,9089,1794,3587,7173,14345,12306,8228,72
147,293,585,1169,2337,4673,9345,2306,4611,9221,2058,4115,8229,74
151,301,601,1201,2401,4801,9601,2818,5635,11269,6154,12307,8230,76
155,309,617,1233,2465,4929,9857,3330,6659,13317,10250,4116,8231,78
159,317,633,1265,2529,5057,10113,3842,7683,15365,14346,12308,8232,80
163,325,649,1297,2593,5185,10369,4354,8707,1030,2059,4117,8233,82
167,333,665,1329,2657,5313,10625,4866,9731,3078,6155,12309,8234,84
171,341,681,1361,2721,5441,10881,5378,10755,5126,10251,4118,8235,86
175,349,697,1393,2785,5569,11137,5890,11779,7174,14347,12310,8236,88
179,357,713,1425,2849,5697,11393,6402,12803,9222,2060,4119,8237,90
183,365,729,1457,2913,5825,11649,6914,13827,11270,6156,12311,8238,92
187,373,745,1489,2977,5953,11905,7426,14851,13318,10252,4120,8239,94
191,381,761,1521,3041,6081,12161,7938,15875,15366,14348,12312,8240,96
195,389,777,1553,3105,6209,12417,8450,516,1031,2061,4121,8241,98
199,397,793,1585,3169,6337,12673,8962,1540,3079,6157,12313,8242,100
203,405,809,1617,3233,6465,12929,9474,2564,5127,10253,4122,8243,102
207,413,825,1649,3297,6593,13185,9986,3588,7175,14349,12314,8244,104
211,421,841,1681,3361,6721,13441,10498,4612,9223,2062,4123,8245,106
215,429,857,1713,3425,6849,13697,11010,5636,11271,6158,12315,8246,108
219,437,873,1745,3489,6977,13953,11522,6660,13319,10254,4124,8247,110
223,445,889,1777,3553,7105,14209,12034,7684,15367,14350,12316,8248,112
227,453,905,1809,3617,7233,14465,12546,8708,1032,2063,4125,8249,114
231,461,921,1841,3681,7361,14721,13058,9732,3080,6159,12317,8250,116
235,469,937,1873,3745,7489,14977,13570,10756,5128,10255,4126,8251,118
239,477,953,1905,3809,7617,15233,14082,11780,7176,14351,12318,8252,120
243,485,969,1937,3873,7745,15489,14594,12804,9224,2064,4127,8253,122
247,493,985,1969,3937,7873,15745,15106,13828,11272,6160,12319,8254,124
251,501,1001,2001,4001,8001,16001,15618,14852,13320,10256,4128,8255,126
255,509,1017,2033,4065,8129,16257,16130,15876,15368,14352,12320,8256,128
259,517,1033,2065,4129,8257,130
263,525,1049,2097,4193,8385,386,771,1541,3081,6161,12321,8258,132
267,533,1065,2129,4257,8513,642,1283,2565,5129,10257,4130,8259,134
271,541,1081,2161,4321,8641,898,1795,3589,7177,14353,12322,8260,136
275,549,1097,2193,4385,8769,1154,2307,4613,9225,2066,4131,8261,138
279,557,1113,2225,4449,8897,1410,2819,5637,11273,6162,12323,8262,140
283,565,1129,2257,4513,9025,1666,3331,6661,13321,10258,4132,8263,142
287,573,1145,2289,4577,9153,1922,3843,7685,15369,14354,12324,8264,144
291,581,1161,2321,4641,9281,2178,4355,8709,1034,2067,4133,8265,146
295,589,1177,2353,4705,9409,2434,4867,9733,3082,6163,12325,8266,148
299,597,1193,2385,4769,9537,2690,5379,10757,5130,10259,4134,8267,150
303,605,1209,2417,4833,9665,2946,5891,11781,7178,14355,12326,8268,152
307,613,1225,2449,4897,9793,3202,6403,12805,9226,2068,4135,8269,154
311,621,1241,2481,4961,9921,3458,6915,13829,11274,6164,12327,8270,156
315,629,1257,2513,5025,10049,3714,7427,14853,13322,10260,4136,8271,158
319,637,1273,2545,5089,10177,3970,7939,15877,15370,14356,12328,8272,160
323,645,1289,2577,5153,10305,4226,8451,518,1035,2069,4137,8273,162
327,653,1305,2609,5217,10433,4482,8963,1542,3083,6165,12329,8274,164
331,661,1321,2641,5281,10561,4738,9475,2566,5131,10261,4138,8275,166
335,669,1337,2673,5345,10689,4994,9987,3590,7179,14357,12330,8276,168
339,677,1353,2705,5409,10817,5250,10499,4614,9227,2070,4139,8277,170
343,685,1369,2737,5473,10945,5506,11011,5638,11275,6166,12331,8278,172
347,693,1385,2769,5537,11073,5762,11523,6662,13323,10262,4140,8279,174
351,701,1401,2801,5601,11201,6018,12035,7686,15371,14358,12332,8280,176
355,709,1417,2833,5665,11329,6274,12547,8710,1036,2071,4141,8281,178
359,717,1433,2865,5729,11457,6530,13059,9734,3084,6167,12333,8282,180
363,725,1449,2897,5793,11585,6786,13571,10758,5132,10263,4142,8283,182
