1
3,5,9,17,33,65,129,257,513,1025,2
7,13,25,49,97,193,385,769,1537,1026,4
11,21,41,81,161,321,641,1281,514,1027,6
15,29,57,113,225,449,897,1793,1538,1028,8
19,37,73,145,289,577,1153,258,515,1029,10
23,45,89,177,353,705,1409,770,1539,1030,12
27,53,105,209,417,833,1665,1282,516,1031,14
31,61,121,241,481,961,1921,1794,1540,1032,16
35,69,137,273,545,1089,130,259,517,1033,18
39,77,153,305,609,1217,386,771,1541,1034,20
43,85,169,337,673,1345,642,1283,518,1035,22
47,93,185,369,737,1473,898,1795,1542,1036,24
51,101,201,401,801,1601,1154,260,519,1037,26
55,109,217,433,865,1729,1410,772,1543,1038,28
59,117,233,465,929,1857,1666,1284,520,1039,30
63,125,249,497,993,1985,1922,1796,1544,1040,32
67,133,265,529,1057,66,131,261,521,1041,34
71,141,281,561,1121,194,387,773,1545,1042,36
75,149,297,593,1185,322,643,1285,522,1043,38
79,157,313,625,1249,450,899,1797,1546,1044,40
83,165,329,657,1313,578,1155,262,523,1045,42
87,173,345,689,1377,706,1411,774,1547,1046,44
91,181,361,721,1441,834,1667,1286,524,1047,46
95,189,377,753,1505,962,1923,1798,1548,1048,48
99,197,393,785,1569,1090,132,263,525,1049,50
103,205,409,817,1633,1218,388,775,1549,1050,52
107,213,425,849,1697,1346,644,1287,526,1051,54
111,221,441,881,1761,1474,900,1799,1550,1052,56
115,229,457,913,1825,1602,1156,264,527,1053,58
119,237,473,945,1889,1730,1412,776,1551,1054,60
123,245,489,977,1953,1858,1668,1288,528,1055,62
127,253,505,1009,2017,1986,1924,1800,1552,1056,64
135,269,537,1073,98,195,389,777,1553,1058,68
139,277,553,1105,162,323,645,1289,530,1059,70
143,285,569,1137,226,451,901,1801,1554,1060,72
147,293,585,1169,290,579,1157,266,531,1061,74
151,301,601,1201,354,707,1413,778,1555,1062,76
155,309,617,1233,418,835,1669,1290,532,1063,78
159,317,633,1265,482,963,1925,1802,1556,1064,80
163,325,649,1297,546,1091,134,267,533,1065,82
167,333,665,1329,610,1219,390,779,1557,1066,84
171,341,681,1361,674,1347,646,1291,534,1067,86
175,349,697,1393,738,1475,902,1803,1558,1068,88
179,357,713,1425,802,1603,1158,268,535,1069,90
183,365,729,1457,866,1731,1414,780,1559,1070,92
187,373,745,1489,930,1859,1670,1292,536,1071,94
191,381,761,1521,994,1987,1926,1804,1560,1072,96
199,397,793,1585,1122,196,391,781,1561,1074,100
203,405,809,1617,1186,324,647,1293,538,1075,102
207,413,825,1649,1250,452,903,1805,1562,1076,104
211,421,841,1681,1314,580,1159,270,539,1077,106
215,429,857,1713,1378,708,1415,782,1563,1078,108
219,437,873,1745,1442,836,1671,1294,540,1079,110
223,445,889,1777,1506,964,1927,1806,1564,1080,112
227,453,905,1809,1570,1092,136,271,541,1081,114
231,461,921,1841,1634,1220,392,783,1565,1082,116
235,469,937,1873,1698,1348,648,1295,542,1083,118
239,477,953,1905,1762,1476,904,1807,1566,1084,120
243,485,969,1937,1826,1604,1160,272,543,1085,122
247,493,985,1969,1890,1732,1416,784,1567,1086,124
251,501,1001,2001,1954,1860,1672,1296,544,1087,126
255,509,1017,2033,2018,1988,1928,1808,1568,1088,128
275,549,1097,146,291,581,1161,274,547,1093,138
279,557,1113,178,355,709,1417,786,1571,1094,140
283,565,1129,210,419,837,1673,1298,548,1095,142
287,573,1145,242,483,965,1929,1810,1572,1096,144
295,589,1177,306,611,1221,394,787,1573,1098,148
299,597,1193,338,675,1349,650,1299,550,1099,150
303,605,1209,370,739,1477,906,1811,1574,1100,152
307,613,1225,402,803,1605,1162,276,551,1101,154
311,621,1241,434,867,1733,1418,788,1575,1102,156
315,629,1257,466,931,1861,1674,1300,552,1103,158
319,637,1273,498,995,1989,1930,1812,1576,1104,160
327,653,1305,562,1123,198,395,789,1577,1106,164
331,661,1321,594,1187,326,651,1301,554,1107,166
335,669,1337,626,1251,454,907,1813,1578,1108,168
339,677,1353,658,1315,582,1163,278,555,1109,170
343,685,1369,690,1379,710,1419,790,1579,1110,172
347,693,1385,722,1443,838,1675,1302,556,1111,174
351,701,1401,754,1507,966,1931,1814,1580,1112,176
359,717,1433,818,1635,1222,396,791,1581,1114,180
363,725,1449,850,1699,1350,652,1303,558,1115,182
367,733,1465,882,1763,1478,908,1815,1582,1116,184
371,741,1481,914,1827,1606,1164,280,559,1117,186
375,749,1497,946,1891,1734,1420,792,1583,1118,188
379,757,1513,978,1955,1862,1676,1304,560,1119,190
