1
3,5,9,17,33,65,129,257,2
7,13,25,49,97,193,385,258,4
11,21,41,81,161,321,130,259,6
15,29,57,113,225,449,386,260,8
19,37,73,145,289,66,131,261,10
23,45,89,177,353,194,387,262,12
27,53,105,209,417,322,132,263,14
31,61,121,241,481,450,388,264,16
35,69,137,273,34,67,133,265,18
39,77,153,305,98,195,389,266,20
43,85,169,337,162,323,134,267,22
47,93,185,369,226,451,390,268,24
51,101,201,401,290,68,135,269,26
55,109,217,433,354,196,391,270,28
59,117,233,465,418,324,136,271,30
63,125,249,497,482,452,392,272,32
71,141,281,50,99,197,393,274,36
75,149,297,82,163,325,138,275,38
79,157,313,114,227,453,394,276,40
83,165,329,146,291,70,139,277,42
87,173,345,178,355,198,395,278,44
91,181,361,210,419,326,140,279,46
95,189,377,242,483,454,396,280,48
103,205,409,306,100,199,397,282,52
107,213,425,338,164,327,142,283,54
111,221,441,370,228,455,398,284,56
115,229,457,402,292,72,143,285,58
119,237,473,434,356,200,399,286,60
123,245,489,466,420,328,144,287,62
127,253,505,498,484,456,400,288,64
147,293,74
151,301,90,179,357,202,403,294,76
155,309,106,211,421,330,148,295,78
159,317,122,243,485,458,404,296,80
167,333,154,307,102,203,405,298,84
171,341,170,339,166,331,150,299,86
175,349,186,371,230,459,406,300,88
183,365,218,435,358,204,407,302,92
187,373,234,467,422,332,152,303,94
191,381,250,499,486,460,408,304,96
207,413,314,116,231,461,410,308,104
215,429,346,180,359,206,411,310,108
219,437,362,212,423,334,156,311,110
223,445,378,244,487,462,412,312,112
235,469,426,340,168,335,158,315,118
239,477,442,372,232,463,414,316,120
247,493,474,436,360,208,415,318,124
251,501,490,468,424,336,160,319,126
255,509,506,500,488,464,416,320,128
343,174,347,182,363,214,427,342,172
351,190,379,246,491,470,428,344,176
367,222,443,374,236,471,430,348,184
375,238,475,438,364,216,431,350,188
383,254,507,502,492,472,432,352,192
439,366,220
447,382,252,503,494,476,440,368,224
479,446,380,248,495,478,444,376,240
511,510,508,504,496,480,448,384,256
512
