1
3,5,9,17,33,65,129,257,513,1025,2049,4097,8193,16385,32769,65537,2
7,13,25,49,97,193,385,769,1537,3073,6145,12289,24577,49153,98305,65538,4
11,21,41,81,161,321,641,1281,2561,5121,10241,20481,40961,81921,32770,65539,6
15,29,57,113,225,449,897,1793,3585,7169,14337,28673,57345,114689,98306,65540,8
19,37,73,145,289,577,1153,2305,4609,9217,18433,36865,73729,16386,32771,65541,10
23,45,89,177,353,705,1409,2817,5633,11265,22529,45057,90113,49154,98307,65542,12
27,53,105,209,417,833,1665,3329,6657,13313,26625,53249,106497,81922,32772,65543,14
31,61,121,241,481,961,1921,3841,7681,15361,30721,61441,122881,114690,98308,65544,16
35,69,137,273,545,1089,2177,4353,8705,17409,34817,69633,8194,16387,32773,65545,18
39,77,153,305,609,1217,2433,4865,9729,19457,38913,77825,24578,49155,98309,65546,20
43,85,169,337,673,1345,2689,5377,10753,21505,43009,86017,40962,81923,32774,65547,22
47,93,185,369,737,1473,2945,5889,11777,23553,47105,94209,57346,114691,98310,65548,24
51,101,201,401,801,1601,3201,6401,12801,25601,51201,102401,73730,16388,32775,65549,26
55,109,217,433,865,1729,3457,6913,13825,27649,55297,110593,90114,49156,98311,65550,28
59,117,233,465,929,1857,3713,7425,14849,29697,59393,118785,106498,81924,32776,65551,30
63,125,249,497,993,1985,3969,7937,15873,31745,63489,126977,122882,114692,98312,65552,32
67,133,265,529,1057,2113,4225,8449,16897,33793,67585,4098,8195,16389,32777,65553,34
71,141,281,561,1121,2241,4481,8961,17921,35841,71681,12290,24579,49157,98313,65554,36
75,149,297,593,1185,2369,4737,9473,18945,37889,75777,20482,40963,81925,32778,65555,38
79,157,313,625,1249,2497,4993,9985,19969,39937,79873,28674,57347,114693,98314,65556,40
83,165,329,657,1313,2625,5249,10497,20993,41985,83969,36866,73731,16390,32779,65557,42
87,173,345,689,1377,2753,5505,11009,22017,44033,88065,45058,90115,49158,98315,65558,44
91,181,361,721,1441,2881,5761,11521,23041,46081,92161,53250,106499,81926,32780,65559,46
95,189,377,753,1505,3009,6017,12033,24065,48129,96257,61442,122883,114694,98316,65560,48
99,197,393,785,1569,3137,6273,12545,25089,50177,100353,69634,8196,16391,32781,65561,50
103,205,409,817,1633,3265,6529,13057,26113,52225,104449,77826,24580,49159,98317,65562,52
107,213,425,849,1697,3393,6785,13569,27137,54273,108545,86018,40964,81927,32782,65563,54
111,221,441,881,1761,3521,7041,14081,28161,56321,112641,94210,57348,114695,98318,65564,56
115,229,457,913,1825,3649,7297,14593,29185,58369,116737,102402,73732,16392,32783,65565,58
119,237,473,945,1889,3777,7553,15105,30209,60417,120833,110594,90116,49160,98319,65566,60
123,245,489,977,1953,3905,7809,15617,31233,62465,124929,118786,106500,81928,32784,65567,62
127,253,505,1009,2017,4033,8065,16129,32257,64513,129025,126978,122884,114696,98320,65568,64
131,261,521,1041,2081,4161,8321,16641,33281,66561,2050,4099,8197,16393,32785,65569,66
135,269,537,1073,2145,4289,8577,17153,34305,68609,6146,12291,24581,49161,98321,65570,68
139,277,553,1105,2209,4417,8833,17665,35329,70657,10242,20483,40965,81929,32786,65571,70
143,285,569,1137,2273,4545,9089,18177,36353,72705,14338,28675,57349,114697,98322,65572,72
147,293,585,1169,2337,4673,9345,18689,37377,74753,18434,36867,73733,16394,32787,65573,74
151,301,601,1201,2401,4801,9601,19201,38401,76801,22530,45059,90117,49162,98323,65574,76
155,309,617,1233,2465,4929,9857,19713,39425,78849,26626,53251,106501,81930,32788,65575,78
159,317,633,1265,2529,5057,10113,20225,40449,80897,30722,61443,122885,114698,98324,65576,80
163,325,649,1297,2593,5185,10369,20737,41473,82945,34818,69635,8198,16395,32789,65577,82
167,333,665,1329,2657,5313,10625,21249,42497,84993,38914,77827,24582,49163,98325,65578,84
171,341,681,1361,2721,5441,10881,21761,43521,87041,43010,86019,40966,81931,32790,65579,86
175,349,697,1393,2785,5569,11137,22273,44545,89089,47106,94211,57350,114699,98326,65580,88
179,357,713,1425,2849,5697,11393,22785,45569,91137,51202,102403,73734,16396,32791,65581,90
183,365,729,1457,2913,5825,11649,23297,46593,93185,55298,110595,90118,49164,98327,65582,92
187,373,745,1489,2977,5953,11905,23809,47617,95233,59394,118787,106502,81932,32792,65583,94
191,381,761,1521,3041,6081,12161,24321,48641,97281,63490,126979,122886,114700,98328,65584,96
195,389,777,1553,3105,6209,12417,24833,49665,99329,67586,4100,8199,16397,32793,65585,98
199,397,793,1585,3169,6337,12673,25345,50689,101377,71682,12292,24583,49165,98329,65586,100
203,405,809,1617,3233,6465,12929,25857,51713,103425,75778,20484,40967,81933,32794,65587,102
207,413,825,1649,3297,6593,13185,26369,52737,105473,79874,28676,57351,114701,98330,65588,104
211,421,841,1681,3361,6721,13441,26881,53761,107521,83970,36868,73735,16398,32795,65589,106
215,429,857,1713,3425,6849,13697,27393,54785,109569,88066,45060,90119,49166,98331,65590,108
219,437,873,1745,3489,6977,13953,27905,55809,111617,92162,53252,106503,81934,32796,65591,110
223,445,889,1777,3553,7105,14209,28417,56833,113665,96258,61444,122887,114702,98332,65592,112
227,453,905,1809,3617,7233,14465,28929,57857,115713,100354,69636,8200,16399,32797,65593,114
231,461,921,1841,3681,7361,14721,29441,58881,117761,104450,77828,24584,49167,98333,65594,116
235,469,937,1873,3745,7489,14977,29953,59905,119809,108546,86020,40968,81935,32798,65595,118
